track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster,umap_1,umap_2
Ek Din Aaro Gelo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,8,5,0.43228146,6.265454
Na Ekhoni Noy Jabe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,4,7,1.125213,7.7178407
Tomar Akash Duti Chokhe,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,6,11,5,1.4174877,7.069991
Aar Bilamba Noy,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,13,12,5,-3.0017314,4.627605
Tumi Ele Anek Diner Pare,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,0,-0.44979283,8.510525
Kajol Kajol Chokhe,Geeta Dutt|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,9,2,10,1.5291628,8.769276
Tomaar Holo Shuru (db),Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,8,9,12,-0.9222584,6.8864713
Phul Phute Jhore Jaay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,12,0,2.541205,8.793068
Ele Na Tumi Je,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,9,4,0,2.0369825,8.691582
Khelbo Holi Rang Debo Na,Asha Bhosle|Kavita Krishnamurthy,bn,Bangla Film,Duet Playback,1,0,13,12,3,-2.613641,4.435203
Sajani Go Premer Katha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,12,5,-2.9899743,4.871671
Ek Din Pakhi Ure Jabe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.9220114,6.9809813
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0,0,9,7,-0.4233868,7.2244253
Ek Din Pakhi Ure Jabe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,5,-2.3232071,4.5104184
Emon Madhur Sandhyay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,7,9,0.52371484,6.1960797
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,13,8,10,-2.5832403,6.095039
Naari Charitra Bejaay Jatil,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,12,5,0.26546037,6.7096257
Bhalobeshe Dekei Dekho Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,8,3,-3.3837304,4.397856
Gaane Bhuban Bhoriye Debe,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,9,4,0,0.7537897,8.754715
Ei Korechho Bhalo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,5,-1.3677845,5.786606
Baro Asha Kore Esechhi Go,Arundhati Holme Chowdhury|Hemant Kumar,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12,-1.1584909,5.0664735
Ore Batas Phulshakhate,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,6,9,7,1.3950124,8.169026
Kine De Reshmi Churi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,4,5,-1.1743671,7.899414
Moner Naam Madhumati,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,0,5,-1.1803747,5.96651
Nadir Paare Uthchhe Dhonya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,11,9,-1.0007559,7.446732
Bristi Bristi Bristi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,9,7,0.5317831,7.882157
Guru Bine Bondhu Naai Re Aar,Amar Pal,bn,Bangla Folk,Regional Folk,2,0,0,0,12,-1.2927805,5.114899
Cigarette Naho Tumi Swet-Pari,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,5,0.91509736,7.3762617
Charon Dhorite Diyo Go (Female),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Classic,7,0,8,0,5,-1.0205424,6.7225204
Ke Jabi Aay,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,4,3,-2.5435457,6.053374
Ebar Ami Amar Theke,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,4,7,-3.0929341,5.1745687
Tumi Aamar Asha,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,7,9,3.4926019,8.095271
Chokhe Naame Brishti,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,12,10,2.3755865,7.850574
Ami Premer Pather Pathik,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,2,0,-1.7356083,7.2606535
Tarpar Tar Aar Par Nei,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0,8,4,7,-1.383597,7.721411
Aay Khuku Aay (Keta Na Somay),Hemant Kumar|Sravanti Mazumder,bn,Bangla Film,Duet Playback,1,0,13,7,3,-2.1570616,5.0125384
Ektuku Chhonwa Lage,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,0,4.067597,9.16121
Danriye Achho Tumi Amar Gaaner O Paare,Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,9,4,7,1.336217,8.442241
Moyna Balo Tumi,Asha Bhosle,bn,Bangla Folk,Regional Folk,2,0,8,0,7,-1.913934,6.6742144
Keu Jane Na Tumi Je Amar,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,0,7,3,-0.6440435,7.229175
Du Chokhe Brishti,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,13,9,3,-2.177337,5.352168
Emon Ekta Jhinuk Khunje,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,13,12,3,-2.5647094,5.9288936
Thuilam Re Mon Padmapatay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,11,3,-3.308389,3.5756242
Jana Gana Mana - Military Band,Normon Richardazz|Harbert Murril,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,5,-3.1359956,4.793308
Bone Noy Mone Mor,Manabendra Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,9,8,7,0.59939826,8.448357
Dake Loke Amake Clown,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,0,5,0.44725886,6.309005
Kolahal To Baron Holo,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,8,2,0,-1.6816121,7.3467627
"Aar Nai Re Bela, Namlo Chhaya",Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,3,8,3,-3.4604287,3.4168503
Ami Cholte Cholte Theme Gechhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-0.549316,5.604536
Swapan Jodi Madhur Emon,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,6,12,2,2.235577,7.987871
Madhumas Jay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,0,8,12,-0.29330176,5.6443357
Shamla Gaanyer Kajla Meye,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,8,11,10,-1.1564499,7.286914
Dil Dariyar Majhete,Purna Das Baul,bn,Bangla Folk,Baul,2,0,8,0,5,-1.6801491,6.546552
Ami Chaee Chaee Chaee,Sapna Mukherjee,bn,Bangla Film,Romantic Playback,1,0,11,9,7,3.589941,9.017705
Tari:- (Ebar Tor Mora Gange and Samal Samal Samal),Dohar,bn,Bangla Folk,Regional Folk,2,0,12,7,9,9.393733,9.000448
Madhobi Modhupey Holo Mitali,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.7691157,7.1336007
Ki Je Kori Dure Jete Hay,Lata Mangeshkar,bn,Bangla Film,Melancholy Playback,1,0,9,2,10,1.8174957,8.83016
Ami Je Jalsaghare,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-0.0865436,5.693581
Mon Bolchhe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,0,5,-1.1954772,5.4699125
Amar Balar Kichhu Chhilo Na,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0,3,12,3,-3.1757796,3.6131082
Chaaridike Paaper Andhar (Manush Janam Diye Bidhi),Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,8,7,-3.0259635,4.625725
Ami Je Ke Tomar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,10,3.494449,9.210775
Shaon Raate Jodi,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,0,12,5,-0.78911567,6.5696163
Rui Katla Ilish To Noy,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,2,10,3.4129944,9.314197
Hay Re Kala Eki Jwala,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,4,3,-3.0339575,5.7146325
Mukhe Bolleye Prem Hoye Na,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,6,7,9,0.9733465,7.053846
Chakrita Ami Peyegechi Bela 2441139,Anjan Dutt,bn,Adhunik Bangla,Romantic Modern,0,0,0,9,12,0.38741922,5.924446
O Amar Pran Sajani (Champabothi Kanya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,2,10,2.401378,8.752707
Jodi Bhabo Bhalobeshe,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,9,7,9,-0.74914783,8.032392
Andhakarer Ei Raater Sheshe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,5,0.72711104,6.564816
Amar Raat Pohaalo (d B),Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nature,7,0,6,9,7,0.90326923,7.87023
Bangla:- (Ami Bangla Mayer Chhele and Amar Sonar Bangla),Dohar,bn,Bangla Folk,Regional Folk,2,0,11,7,9,3.408584,7.9388795
Sukno Patar Nupur Paye,Feroza Begum,bn,Nazrul Geeti,Nazrul Romantic,6,0,13,8,3,-2.0793064,5.148923
Jodi Kagoje Lekho Naam,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,8,11,10,-2.4747844,6.646835
Na Chahile Jare Paoya Jaay - Manna Dey,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,9,2,10,2.7965856,9.217104
Jhilik Jhilik Jhinuk,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,2,10,1.0044525,9.058102
Purano Sei Diner Kotha,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,4,7,-3.030602,5.7919464
O Tota Pakhi Re,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,6,8,7,0.7454855,7.9921503
She Keno Amay,Pankaj Udhas,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10,1.4921283,8.780399
Jeevanamaraner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,8,4,7,-1.3035685,7.805545
Eureka Eureka,Kishore Kumar|Ranu Mukherjee|Chorus,bn,Bangla Film,Duet Playback,1,0,13,9,12,-1.6344382,5.781463
Chhinnapatar Sajai Taranee,Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,8,10,-1.4387949,7.7440357
Amar Chetana Chaitanya Kore,Panna Lal Bhattacharjee,bn,Devotional,Spiritual,5,0,8,2,10,-0.8575824,8.228947
Amar Hriday Tomar Aapan Haater Dole (Duet),Arundhati Holme Chowdhury|Santu Mukherjee,bn,Rabindra Sangeet,Tagore Classic,7,0,5,2,2,8.093093,8.97058
Ek Din Aaro Gelo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,10,-1.5575879,7.3215833
Madhumas Jay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,3,0,12,-2.951986,3.8973093
Hotam Jodi Tota Pakhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,12,0,2.3166182,8.72899
Aadho Aalo Chhayte,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,6,9,12,0.3481218,7.4847813
Ami Tomar Majhe Pelam Khunje,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,0,-0.67306817,5.874965
Ore Mon-Mayana,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,3,-2.5082169,6.439304
Machher Kanta Khonpar Kanta,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,2,2,10,6.0225053,9.022845
Bhalobese Sakhi Nibhrite Jatane,Chinmoy Chatterjee,bn,Rabindra Sangeet,Tagore Nature,7,0,3,0,12,-2.410769,3.7736568
Nahin Surya Nahin Jyoti,Anup Jalota,bn,Devotional,Bhajan,5,0,5,2,10,7.617422,8.480924
Ek Baishakhe Dekha Holo Dujanay,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,6,9,7,0.9050173,7.088917
Ei Sundar Raatri,Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,8,11,10,-1.4461849,6.2973437
O Montrimoshai,Rabi Ghosh|Anup Ghoshal,bn,Children's Music,Comic Song,4,0,3,9,12,-2.5467987,3.7911294
Iskabaner Deshe,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,3,8,3,-3.2580194,3.3488045
Gun Gun Gun Kunje Amar,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,0,3,-3.055595,3.5278277
Golemale Gole Male Pirit Koiro Na,Purna Das Baul,bn,Bangla Folk,Baul,2,0,0,9,12,-0.4318949,5.5600276
Tomaro Ashimey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,8,2,0,-1.1829603,7.951103
Amar Moner Ei Mayurmahale,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-2.161837,6.874838
Ami Je Ke Tomar,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,7,9,0.43474665,6.52165
Tomate Amate Dekha Hoyechhilo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,4,12,-1.0536036,6.5026083
Raat Je Madhumati,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,12,0,0.5098667,8.775023
Ei Brishtite Bhije Mati,Manna Dey|Lata Mangeshkar,bn,Bangla Folk,Regional Folk,2,0,13,0,12,-2.9107292,5.2913184
Ke Pratham Kachhe Esechhi,Lata Mangeshkar|Manna Dey,bn,Bangla Film,Duet Playback,1,0,8,2,0,-1.8151695,7.159259
Pherano Jabe Na Aar,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.5298998,7.4894934
Chanchal Moyuri E Raat,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,8,7,-1.4795126,5.4725847
Ei To Bhalo Legechhilo - Hemanta Mukherjee,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,3,-2.4363925,6.4254827
Eso Pranbharan,Arundhati Holme Chowdhury|Bitu Samajpati,bn,Rabindra Sangeet,Tagore Classic,7,0,13,11,3,-2.1679869,5.4930964
Ami Aaj Bhebechhi Mone,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,9,12,-3.2231195,4.0547056
Baro Eka Laage,Manna Dey,bn,Bangla Film,Melancholy Playback,1,0,13,4,3,-2.7018328,5.9642363
Nohi Jantra,Anup Ghoshal,bn,Children's Music,Comic Song,4,0,11,2,0,3.9878075,8.663535
Pranbhara Swapna,Kishore Kumar|Chandrani Mukherjee,bn,Bangla Film,Duet Playback,1,0,8,12,5,-1.8624738,6.18429
Sabar Aarale,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,6,9,0,2.553818,8.01909
Tapur Tupur Sara Dupur,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,2,2,4.0147433,8.5822735
Amay Bolo Na Gahite,Suchitra Mitra,bn,Rabindra Sangeet,Tagore Classic,7,0,13,4,3,-3.041148,5.6428404
Ore Sujan Naiya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,8,11,10,-2.1760566,6.971016
Aami Dasyir Sathey Kori Dosti,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,13,4,7,-3.0353067,4.857109
Na Na Emon Korey,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,11,0,-2.8500428,6.1004577
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,6,2,10,2.0600429,8.402095
Pathey Chhile Jetey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,8,3,-2.5157707,4.581628
Jakhan Porbe Na Mor Payer Chinha,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,4,7,-2.5012145,6.0177517
Kana Machhi Bhon Bhon,Antara Chwdhury|Sabita Chowdhury,bn,Children's Music,Comic Song,4,0,3,8,3,-2.3323274,3.8301594
Dui Naukaye Diya Pa,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,9,2,0,-0.0806135,8.672874
Shiter Shishir Bheja Raat,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,2,9,2,5.703187,8.939549
Mon Tomar Ei Bhram Gelo Na,Panna Lal Bhattacharjee,bn,Devotional,Spiritual,5,0,8,8,10,-0.0018775229,7.7547455
Ami Tomar Preme Habo Sabar,Sagar Sen,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,12,5,-2.2693017,6.705749
Mahabiswey Mahabiswey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,11,10,-2.883399,5.458845
Priyotamo Ki Likhi Tomay,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,0,5,-2.3470037,4.931891
O Bideshi Bandhu,Bhupen Hazarika,bn,Adhunik Bangla,Urban Modern,0,0,9,2,0,0.7809554,9.224418
Nayan Chherey Geley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,6,12,0,2.053791,8.278627
Aaro Katodin Ami Khunjechhi Tomake,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,0,0,12,-1.2786758,5.896106
Kalyankarini Saptanadi Bhagini,Chandrabali Rudra Dutta,bn,Rabindra Sangeet,Tagore Classic,7,0,6,9,4,1.9785954,7.277114
Shono Go Dakhin Hawa,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,12,-2.333582,5.3738723
Prem Kise Hoy,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,0,12,-3.2447996,4.1277375
King Of The Ghosts Gives 3 Boons,Satyajit Ray,bn,Children's Music,Fantasy Song,4,0,3,9,3,-2.9620726,3.6997285
Kon Pakhi Dhara Dite Chaaye,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,8,7,-2.5025249,4.9943438
Bharaa Thaak Smritisudhaay,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,6,11,2,2.0914752,8.423515
Naam Rekhechhi Bonolata,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,13,8,3,-1.9673076,5.109267
Ami Apon Koriya Chahini,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,11,9,7,3.9426534,8.842592
"Barne, Gandhe, Chhande, Gitite",S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10,1.207366,8.914443
Hay Go Amar Mon Mane Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,4,7,0.49037284,9.155749
Darjeeling Jatra,R. D. Burman,bn,Children's Music,Travel Comic,4,0,3,8,3,-3.1343193,3.2389765
Ja Peyechhi,Amit Kumar,bn,Bangla Film,Romantic Playback,1,0,13,9,12,-2.062577,4.346226
Se To Elo Na,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,3,0,5,-2.8222303,4.293963
Na Na Jeo Na,Manna Dey,bn,Bangla Film,Melancholy Playback,1,0,8,9,0,-1.567507,6.7401233
Pratidhwani Suni,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,3,4,3,-3.0761127,4.5157523
Ke Jay Amritadhamjatri,Ritu Guha,bn,Rabindra Sangeet,Tagore Classic,7,0,13,0,12,-2.3685086,5.3418636
Badal Kalo Ghirlo Go,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,8,7,-2.5602236,5.864634
Baro Asha Kare,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,2,0,-0.98713666,7.7250633
Onek Khujechi Khuje Payine,Mohammad Aziz,bn,Bangla Film,Romantic Playback,1,0,3,7,9,-3.0237532,4.1621428
Aar Nai Je Deri,Chinmoy Chatterjee,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12,-0.20069966,5.973938
Rai Jago Rai Jago Bole,Amar Pal,bn,Bangla Folk,Polli Geeti,2,0,9,4,7,0.8195128,8.59076
"Ogo Kangal, Amare Kangal Karechho",Ritu Guha,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12,0.31360096,6.16529
Eto Kachhe Dujane,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,5,0.67212635,6.8103704
Amra Korbo Joy,Bhupen Hazarika|Chorus,bn,Bangla Patriotic,Inspirational Anthem,3,0,8,8,3,-2.5547988,6.3306527
E Jiban Premeri Ek Patabahar Kabita,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,12,0,1.6296291,7.884433
Megh Aar Kuyashay Hok,Kishore Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,6,12,2,2.3125768,8.038509
Amar Bela Je Jai,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.1633456,3.0753222
Badhu Kon Alo (Part 2),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Nature,7,0,8,4,7,-0.80826724,7.219931
Shudhu Jaoya Aasa,Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Classic,7,0,9,2,10,0.27493632,8.837941
Chanchal Mon Anmona Hoy,Lata Mangeshkar|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0,0,11,12,0.13948679,6.14738
Bhola Mon Moner Katha,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,11,4,7,3.8105056,9.002607
Amar Andhar Bhubane,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,10,-1.5889847,7.4231434
Banshi Keno Hai,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,9,7,-1.116966,6.098235
Hey Priyotama Ami To Tomay,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-1.5271254,5.9034257
"Sakhi, Bhabana Kahare Bale",Sumitra Sen,bn,Rabindra Sangeet,Tagore Romantic,7,0,11,8,5,3.2391174,8.274763
Klaanti Aamaar Kshamaa Koro,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,12,-3.2147121,3.0961072
Tunhu Mamo Monpran Hey (Stereo),Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0,3,8,5,-2.4232633,3.8092008
Jabo Ki Jabo Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.3618314,3.174199
Dekhe Elam Ruper Agun,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-2.522868,6.4757237
E Ki Holo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,0,-0.27402064,8.631945
Gharete Bhramar Elo,Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,5,-3.3322704,3.8491187
Ma Tui Amay Daya Korbi Ki Na Bal,Manna Dey,bn,Devotional,Spiritual,5,0,13,4,12,-3.0534034,4.703564
Aaj Bikeler Dake Tomar Chithi,Banasree Sengupta,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5,-0.9076347,5.816777
Aaro Bhalo Hoto,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,12,2,0.13939826,6.6963897
Tumi Je Amar,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,4,5,-2.0464559,5.6674194
Amar Khela Jakhon Chhilo Tomar Sane,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,12,5,0.607533,8.415093
Shono Ei To Samay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0,13,11,10,-2.897639,4.7384043
Ami Gun Kormu Ekjonare,Anuradha Paudwal,bn,Devotional,Bhajan,5,0,8,4,7,-1.1429242,7.8104086
Nibhrita Praner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,0,5,-2.591759,5.1811614
Dinguli Mor Sonar Khanchay Roilo Na,Dwijen Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,11,9,7,3.5437543,8.325921
Keno Dure Thako,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0,6,11,2,1.5079477,7.1949906
Jabar Belay Pichhu Theke,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,4,7,-3.0607255,5.938527
Tomake Shonate E Gaan,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,2,2,2,5.9748793,8.988261
Akash Keno Daake,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,12,-2.7727,4.304799
Jani Jani Tumi Esechho E Pathe,Sudeshna Chatterjee,bn,Adhunik Bangla,Romantic Modern,0,0,8,12,0,-1.6605685,7.4697104
Hey Mor Debota,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,2,2,10,6.204459,8.670509
Jodi Baran Karo Tabe Gabo Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,2,12,10,5.2390165,8.909178
Ami Jani Na,Asha Bhosle|Abhijeet Bhattacharya,bn,Bangla Film,Duet Playback,1,0,8,4,7,-0.8860977,7.995776
Aaro Kachakachi,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,13,0,12,-2.9393628,5.07907
Ogo Abar Natun Kore,Mukesh,bn,Bangla Film,Romantic Playback,1,0,13,0,12,-3.131391,4.386919
Deep Nibhey Gechhey,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,0,11,5,0.119418025,6.3419604
Mon Mor Megher Sangi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,2,10,0.66798854,9.230472
Aachhey Dukkha,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,8,4,7,-1.957313,7.3831663
Saat Sakaale,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,11,10,-1.6088046,7.2203865
Jakhan Ami Anek Dure,Kishore Kumar,bn,Bangla Film,Melancholy Playback,1,0,11,7,9,3.4346702,8.004086
Prano Bhariye Trisha Hariye,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,3,0,12,-2.9918492,3.2085605
Mor Bhabonare (Female),SAHANA BAJPEI,bn,Rabindra Sangeet,Tagore Classic,7,0,9,4,0,-0.27922943,8.37622
Hai Re Poda Banshi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,7,9,0.504237,6.1095414
Tomar Oi Dhupchhaya Rang,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,13,0,12,-2.4690545,5.107495
Je Chhilo Amar Swapancharini,Srikanto Acharya,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3,-3.509823,3.4307003
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,8,2,10,0.28608468,7.7037244
Mora Dujonai Rajar Jamai,Anup Ghoshal,bn,Children's Music,Fantasy Song,4,0,11,12,5,5.2224298,9.379531
Amay Nahe Go,Feroza Begum,bn,Nazrul Geeti,Nazrul Romantic,6,0,11,8,5,2.781418,8.61359
Naam Dhore Kejano,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,8,7,7,-0.15632609,7.474281
